identifier,smiles
CNP0299807.2,COC1=CC(/C=C/C(=O)O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O[C@H]3OC[C@@H](O)[C@@H](O)[C@@H]3O)[C@H](OCCC3=CC=C(O)C(O)=C3)O[C@@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC=C1O
CNP0302243.1,CC(=O)OC1=CC(OC(C)=O)=C2C(=C1)O[C@H](C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)[C@H](OC(C)=O)[C@@H]2C1=C(OC(C)=O)C=C(OC(C)=O)C2=C1O[C@H](C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)[C@H](OC(=O)C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)C2
CNP0302243.2,CC(=O)OC1=CC(OC(C)=O)=C2C(=C1)O[C@H](C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)[C@H](OC(C)=O)[C@H]2C1=C(OC(C)=O)C=C(OC(C)=O)C2=C1O[C@H](C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)[C@H](OC(=O)C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)C2
CNP0307545.1,O=C(OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@@H](OC4=CC(O)=C5C(=C4)O[C@H](C4=CC(O)=C(O)C(O)=C4)[C@@H](O)[C@@H]5C4=C(O)C=C(O)C5=C4O[C@H](C4=CC=C(O)C(O)=C4)[C@H](O)[C@H]5C4=C(O)C=C(O)C5=C4O[C@H](C4=CC=C(O)C(O)=C4)[C@H](O)[C@H]5C4=C(O)C=C(O)C5=C4O[C@H](C4=CC=C(O)C(O)=C4)[C@@H](O)[C@@H]5C4=C(O)C=C(O[C@@H]5O[C@H](CO[C@@H]6O[C@H](CO[C@@H]7O[C@H](COC(=O)C8=CC(O)=C(O)C(O)=C8)[C@@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)C5=C4O[C@H](C4=CC=C(O)C(O)=C4)[C@@H](O)C5)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O)C1=CC(O)=C(O)C(O)=C1
CNP0307739.0,CCCC(=O)OCC(OC(=O)CCC)C(OC(=O)CCC)C(CN1C2=NC(=O)NC(=O)C2=NC2=CC(C)=C(C)C=C21)OC(=O)CCC
CNP0309327.2,C[C@]12C(=O)C=CC=C1[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2(O)C(=O)O[C@@]3(C)[C@H]4C[C@@]5(C)[C@H]6C(=O)[C@@]1(OC[C@H]5C(=O)O4)O[C@@]632
CNP0309327.6,C[C@@]12C(=O)C=CC=C1[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2(O)C(=O)O[C@@]3(C)[C@@H]4C[C@]5(C)[C@@H](CO[C@]16O[C@@]32[C@H]5C6=O)C(=O)O4
CNP0317490.1,COC1=CC2=C(C3=C1C(=O)C1=CC=CC=C1N3C)[C@H]1O[C@H]1C(C)(C)O2
CNP0320679.1,OC1=CC(O)=C2C(=C1)O[C@]1(C3=CC=C(O)C(O)=C3)OC3=C4C(=C5C(=C3[C@@H]2[C@H]1O)O[C@@]1(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC(O)=C2[C@H]5[C@H]1O)O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]4C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)C2
CNP0321711.1,CCN[C@H]1CO[C@@H](O[C@H]2[C@H](O[C@H]3C#C/C=C\C#C[C@]4(O)CC(=O)C(NC(=O)OC)=C3/C4=C\CSSSC)O[C@H](C)[C@@](SC)(C(=O)C3=NC=CC4=C3NC3=CC=C(O)C=C34)[C@@H]2O)C[C@@H]1OC
CNP0325107.1,C=C(C)[C@H]1CC(=O)C[C@@]23O[C@@]4(C)C[C@@H]5OC(=O)[C@@H]([C@@H]5[C@@H]4C2=O)[C@@H]3C1
CNP0325107.3,C=C(C)[C@@H]1CC(=O)C[C@]23O[C@]4(C)C[C@H]5OC(=O)[C@H]([C@H]5[C@H]4C2=O)[C@H]3C1
CNP0329495.1,CN1CC[C@]23C4=CC=CC=C4N=C1[C@]21CCN(C)[C@@H]3NC2=CC=CC=C21
CNP0332863.1,COC1=CC(/C=C/C(=O)OC[C@H]2O[C@@](COC(=O)/C=C/C3=CC=C(O)C=C3)(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3OC(C)=O)[C@@H](O)[C@@H]2OC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O
CNP0334398.1,COC1=CC(/C=C/C(=O)OC[C@H]2O[C@@](COC(=O)/C=C/C3=CC=C(O)C=C3)(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3OC(C)=O)[C@@H](OC(=O)/C=C/C3=CC=C(O)C=C3)[C@@H]2O)=CC=C1O
CNP0234972.1,COC1=CC(/C=C/C(=O)OC[C@H]2O[C@@](COC(=O)/C=C/C3=CC=C(O)C=C3)(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3OC(C)=O)[C@@H](OC(=O)/C=C/C3=CC=C(O)C(OC)=C3)[C@@H]2O)=CC=C1O
CNP0235120.1,C=CCC/C=C/C=C/C=C/CC/C=C/[C@H](O)[C@@H](O)[C@H]1O[C@@H]([C@@H](O)[C@@H](O)C(=C)CC[C@@H](O)[C@H]2C[C@@H](O)[C@H](O)[C@@H]([C@@H](O)[C@@H](O)/C=C(\C)CC[C@@H](O)C[C@@H](O)[C@@H](O)[C@@H](C)C[C@@H](O)C[C@@H](C)/C=C(\C)C[C@@H](O)C[C@@H](C)C[C@H](O)[C@H]3C[C@@H](O)[C@H](O)[C@@H](C[C@H](O)C[C@H](O)CO)O3)O2)C[C@@H](O)[C@@H]1O
CNP0236970.2,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](COC(=O)/C=C/C3=CC=C(O)C(O)=C3)O[C@@H](OCCC3=CC=C(O)C(O)=C3)[C@@H]2O[C@@H]2OC[C@](O)(CO)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
CNP0239145.1,CC(=O)OC1=CC(OC(C)=O)=C2C(=C1)O[C@H](C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)[C@H](OC(=O)C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)[C@H]2C1=C(OC(C)=O)C=C2O[C@H](C3=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C3)[C@@H](OC(C)=O)CC2=C1OC(C)=O
CNP0243746.10,CC[C@@H]1[C@@H](O)N2C3C[C@H]1C1[C@@H]2C[C@]2(C4=CC=CC=C4N(C)[C@@H]32)[C@H]1O
